epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2091,1.28159,0.90975,1.28319,0.8747,0.82571,0.88263,0.53602,1.4087,0.82292,1.39984,0.000661728,0.000661728,0.000661728
2,61.6209,1.38833,1.01944,1.36243,0.83338,0.73714,0.83565,0.48186,1.45788,0.95,1.45729,0.00130961,0.00130961,0.00130961
3,90.419,1.47042,1.15245,1.39514,0.85656,0.73367,0.8292,0.49515,1.42571,1.01806,1.42413,0.00193863,0.00193863,0.00193863
4,119.059,1.48292,1.16893,1.40042,0.85453,0.73143,0.82759,0.47829,1.49446,0.99906,1.46966,0.00191514,0.00191514,0.00191514
5,149.739,1.49171,1.16501,1.41558,0.87356,0.73143,0.83167,0.47822,1.49724,1.00883,1.47211,0.00188686,0.00188686,0.00188686
6,178.03,1.50649,1.17245,1.42615,0.82536,0.72857,0.8132,0.46917,1.51151,1.03044,1.50265,0.00185857,0.00185857,0.00185857
7,206.003,1.46502,1.13302,1.39494,0.8536,0.74,0.81441,0.45579,1.54576,1.06469,1.50426,0.00183029,0.00183029,0.00183029
8,234.169,1.49501,1.13534,1.41386,0.79328,0.70171,0.75495,0.42259,1.54716,1.17043,1.51021,0.001802,0.001802,0.001802
9,261.741,1.4853,1.13752,1.42485,0.87976,0.73143,0.8161,0.48176,1.44178,0.98438,1.4735,0.00177371,0.00177371,0.00177371
10,289.567,1.45172,1.11964,1.40314,0.87309,0.74571,0.84377,0.50643,1.42646,0.95018,1.41504,0.00174543,0.00174543,0.00174543
11,319.812,1.45492,1.12556,1.40749,0.86598,0.78857,0.85533,0.49204,1.4354,0.96459,1.46444,0.00171714,0.00171714,0.00171714
12,347.904,1.43505,1.10503,1.39187,0.87859,0.78286,0.8516,0.50505,1.45934,0.94755,1.45958,0.00168886,0.00168886,0.00168886
13,375.852,1.42598,1.09747,1.38508,0.85533,0.77705,0.84558,0.49845,1.42723,0.88709,1.43224,0.00166057,0.00166057,0.00166057
14,403.97,1.43184,1.07473,1.39401,0.86927,0.81689,0.86322,0.4992,1.4422,0.91141,1.42728,0.00163229,0.00163229,0.00163229
15,434.321,1.42082,1.05235,1.3709,0.88867,0.79825,0.86902,0.5051,1.45176,0.86892,1.41938,0.001604,0.001604,0.001604
16,462.217,1.40609,1.04312,1.37221,0.92197,0.74268,0.84219,0.49656,1.43366,0.93551,1.44613,0.00157571,0.00157571,0.00157571
17,490.443,1.41047,1.04722,1.37141,0.88477,0.78,0.86118,0.47011,1.52034,0.94409,1.49621,0.00154743,0.00154743,0.00154743
18,518.644,1.39572,1.01466,1.35873,0.84935,0.82571,0.85588,0.50329,1.41038,0.92295,1.43052,0.00151914,0.00151914,0.00151914
19,546.93,1.3904,1.00048,1.36012,0.88701,0.78504,0.85862,0.49935,1.41003,0.89012,1.4172,0.00149086,0.00149086,0.00149086
20,575.201,1.39617,1.0221,1.36467,0.87562,0.82571,0.87022,0.51849,1.41048,0.85129,1.4131,0.00146257,0.00146257,0.00146257
21,603.234,1.36024,0.98953,1.33164,0.85203,0.81714,0.86436,0.51489,1.41541,0.83263,1.43739,0.00143429,0.00143429,0.00143429
22,633.625,1.36756,0.99376,1.3478,0.904,0.79429,0.87384,0.5202,1.38778,0.86899,1.39707,0.001406,0.001406,0.001406
23,661.73,1.36944,0.98486,1.35856,0.86516,0.79143,0.84875,0.49748,1.43302,0.88547,1.43951,0.00137771,0.00137771,0.00137771
24,692.191,1.34766,0.95858,1.32445,0.87681,0.82857,0.86805,0.52795,1.37587,0.82301,1.41244,0.00134943,0.00134943,0.00134943
25,720.379,1.36232,0.95739,1.35129,0.90884,0.8261,0.8972,0.54094,1.36385,0.79666,1.38133,0.00132114,0.00132114,0.00132114
26,748.867,1.33214,0.95401,1.33222,0.94207,0.81714,0.88408,0.53391,1.40324,0.78179,1.41297,0.00129286,0.00129286,0.00129286
27,777.379,1.31788,0.93804,1.30669,0.90547,0.82571,0.87828,0.52205,1.41026,0.78962,1.39911,0.00126457,0.00126457,0.00126457
28,806.042,1.32019,0.93953,1.31595,0.87136,0.84,0.87488,0.53034,1.39291,0.80697,1.4017,0.00123629,0.00123629,0.00123629
29,834.697,1.33779,0.92674,1.3146,0.90601,0.79867,0.87267,0.51223,1.43515,0.80912,1.43166,0.001208,0.001208,0.001208
30,863.658,1.30042,0.90186,1.29739,0.92899,0.80857,0.88256,0.53254,1.35596,0.77934,1.37322,0.00117971,0.00117971,0.00117971
31,890.101,1.28311,0.86781,1.29302,0.90395,0.80668,0.87562,0.52234,1.42647,0.78917,1.42871,0.00115143,0.00115143,0.00115143
32,920.723,1.29719,0.88558,1.2977,0.90914,0.82857,0.88421,0.52931,1.41425,0.77357,1.40077,0.00112314,0.00112314,0.00112314
33,947.797,1.30299,0.88242,1.30349,0.92623,0.82512,0.89052,0.54249,1.39137,0.76667,1.41915,0.00109486,0.00109486,0.00109486
34,974.521,1.25151,0.84655,1.27427,0.90989,0.83143,0.89671,0.53932,1.40542,0.75672,1.40523,0.00106657,0.00106657,0.00106657
35,1001.73,1.27441,0.87381,1.28608,0.94556,0.79395,0.88621,0.52932,1.40928,0.79657,1.43073,0.00103829,0.00103829,0.00103829
36,1028.79,1.25574,0.83904,1.27154,0.89532,0.82,0.87714,0.53545,1.39037,0.75849,1.41452,0.00101,0.00101,0.00101
37,1055.04,1.28496,0.84858,1.29407,0.9403,0.81143,0.88601,0.54758,1.34852,0.75947,1.37351,0.000981714,0.000981714,0.000981714
38,1081.75,1.25026,0.83063,1.28091,0.90506,0.78989,0.85956,0.52645,1.38953,0.77012,1.40919,0.000953429,0.000953429,0.000953429
39,1107.11,1.26012,0.83707,1.28526,0.92115,0.80104,0.8661,0.52579,1.39751,0.76379,1.43146,0.000925143,0.000925143,0.000925143
40,1132.57,1.24654,0.82918,1.2619,0.89346,0.82571,0.8737,0.52945,1.37637,0.7788,1.40001,0.000896857,0.000896857,0.000896857
41,1158.22,1.22812,0.81515,1.27027,0.90624,0.82,0.87578,0.55013,1.35306,0.7401,1.39282,0.000868571,0.000868571,0.000868571
42,1184.19,1.21851,0.82492,1.2528,0.90899,0.81429,0.8766,0.53616,1.38751,0.77074,1.39055,0.000840286,0.000840286,0.000840286
43,1209.67,1.23694,0.81511,1.26651,0.91019,0.82857,0.89188,0.54263,1.35761,0.75075,1.38229,0.000812,0.000812,0.000812
44,1235.27,1.23777,0.7903,1.26474,0.89302,0.84857,0.88635,0.54124,1.34832,0.74171,1.36388,0.000783714,0.000783714,0.000783714
45,1260.99,1.21128,0.78351,1.24946,0.92307,0.82277,0.87992,0.55474,1.3545,0.71722,1.40491,0.000755429,0.000755429,0.000755429
46,1286.66,1.22378,0.80214,1.25327,0.92834,0.81427,0.88554,0.5567,1.33963,0.70324,1.38281,0.000727143,0.000727143,0.000727143
47,1312.76,1.20801,0.77976,1.2424,0.92218,0.82571,0.88967,0.55374,1.34094,0.71987,1.37581,0.000698857,0.000698857,0.000698857
48,1337.81,1.1818,0.76827,1.23602,0.93156,0.81669,0.887,0.56084,1.34069,0.69751,1.38811,0.000670571,0.000670571,0.000670571
49,1363.79,1.19987,0.78072,1.24848,0.8905,0.83649,0.88925,0.55534,1.36755,0.7256,1.40052,0.000642286,0.000642286,0.000642286
50,1389.16,1.17991,0.77704,1.23301,0.88396,0.82707,0.88772,0.55799,1.32643,0.71247,1.36852,0.000614,0.000614,0.000614
51,1414.62,1.19405,0.78512,1.23464,0.93276,0.82571,0.89652,0.56736,1.29529,0.69825,1.35507,0.000585714,0.000585714,0.000585714
52,1439.58,1.17042,0.75101,1.22319,0.93812,0.81429,0.90037,0.57465,1.30183,0.69258,1.35775,0.000557429,0.000557429,0.000557429
53,1464.53,1.17941,0.74893,1.21645,0.94001,0.82571,0.90298,0.5612,1.33563,0.71031,1.35167,0.000529143,0.000529143,0.000529143
54,1489.39,1.15512,0.74378,1.21249,0.92395,0.82571,0.89193,0.56941,1.32021,0.70253,1.35338,0.000500857,0.000500857,0.000500857
55,1514.3,1.15254,0.72544,1.21782,0.92269,0.82286,0.88931,0.56168,1.30468,0.68603,1.36094,0.000472571,0.000472571,0.000472571
56,1539.17,1.12687,0.72708,1.21464,0.93608,0.83143,0.90669,0.57165,1.30379,0.69833,1.35658,0.000444286,0.000444286,0.000444286
57,1564.05,1.14124,0.72138,1.20318,0.89642,0.8407,0.90082,0.5694,1.31363,0.69773,1.34503,0.000416,0.000416,0.000416
58,1588.93,1.13272,0.7205,1.20163,0.90956,0.83329,0.89609,0.56315,1.30669,0.68648,1.342,0.000387714,0.000387714,0.000387714
